"team_api_id","team_long_name","buildup_attributes_sum","chance_attributes_sum","defence_attributes_sum","players_fielded"
"110",8534,"Empoli",145,115,90,36
"111",8535,"Fiorentina",121,170,135,105
"112",8537,"Livorno",183,115,90,55
"113",8540,"Palermo",168,130,145,106
"114",8543,"Lazio",188,160,175,76
"115",8548,"Rangers",153,210,200,52
"116",8549,"Middlesbrough",144,190,130,23
"117",8550,"FC Metz",152,175,110,26
"118",8551,"Siena",144,115,160,75
"119",8558,"RCD Espanyol",146,195,180,100
"120",8559,"Bolton Wanderers",167,185,140,45
"121",8560,"Real Sociedad",162,160,110,48
"122",8564,"Milan",170,170,125,95
"123",8569,"GKS Bełchatów",143,155,200,39
"124",8571,"KV Kortrijk",129,150,185,81
"125",8573,"KV Oostende",155,140,133,36
"126",8576,"AC Ajaccio",168,135,130,46
"127",8581,"Levante UD",171,155,115,83
"128",8583,"AJ Auxerre",168,135,115,41
"129",8586,"Tottenham Hotspur",133,165,150,73
"130",8588,"RC Lens",165,180,200,54
"131",8592,"Olympique de Marseille",169,205,200,81
"132",8593,"Ajax",117,180,90,82
"133",8596,"Falkirk",NA,200,200,37
"134",8597,"Kilmarnock",167,205,200,115
"135",8600,"Udinese",205,150,120,88
"136",8602,"Wolverhampton Wanderers",136,210,210,40
"137",8603,"Real Betis Balompié",145,135,150,97
"138",8611,"FC Twente",131,145,90,94
"139",8613,"Boavista FC",153,128,148,42
"140",8614,"Sparta Rotterdam",NA,140,90,31
"141",8633,"Real Madrid CF",153,200,170,67
"142",8634,"FC Barcelona",122,175,170,57
"143",8635,"RSC Anderlecht",149,180,190,76
"144",8636,"Inter",182,175,165,97
"145",8639,"LOSC Lille",152,150,180,78
"146",8640,"PSV",153,155,90,69
"147",8649,"Ross County FC",153,136,143,73
"148",8650,"Liverpool",171,180,140,88
"149",8654,"West Ham United",184,151,130,93
"150",8655,"Blackburn Rovers",185,185,160,54
"151",8658,"Birmingham City",174,210,210,33
"152",8659,"West Bromwich Albion",145,195,210,80
"153",8661,"RCD Mallorca",172,140,130,63
"154",8667,"Hull City",151,195,210,70
"155",8668,"Everton",137,175,150,66
"156",8673,"Legia Warszawa",141,170,195,59
"157",8674,"FC Groningen",142,156,90,85
"158",8678,"Bournemouth",139,200,210,21
"159",8682,"Le Mans FC",NA,190,200,32
"160",8686,"Roma",153,190,155,100
"161",8689,"FC Lorient",158,120,200,94
"162",8690,"Reggio Calabria",163,130,140,26
"163",8696,"Racing Santander",147,205,150,59
"164",8697,"SV Werder Bremen",174,180,205,89
"165",8721,"VfL Wolfsburg",170,195,155,82
"166",8722,"1. FC Köln",171,165,170,70
"167",9746,"Le Havre AC",154,155,130,31
"168",9747,"En Avant de Guingamp",169,170,125,40
"169",9748,"Olympique Lyonnais",161,185,200,73
"170",9761,"NAC Breda",153,135,90,73
"171",9764,"Gil Vicente FC",176,152,149,62
"172",9765,"Portimonense",NA,NA,NA,23
"173",9768,"Sporting CP",178,170,90,103
"174",9771,"União de Leiria, SAD",NA,150,150,60
"175",9772,"SL Benfica",178,170,90,97
"176",9773,"FC Porto",173,180,90,93
"177",9776,"Eintracht Braunschweig",183,180,144,24
"178",9777,"Servette FC",NA,175,170,34
"179",9783,"RC Deportivo de La Coruña",157,140,115,90
"180",9788,"Borussia Mönchengladbach",116,185,160,73
"181",9789,"Borussia Dortmund",170,170,177,62
"182",9790,"Hamburger SV",164,200,175,83
"183",9791,"Heracles Almelo",147,133,90,75
"184",9798,"Reading",144,210,200,26
"185",9800,"St. Mirren",178,210,200,81
"186",9803,"Roda JC Kerkrade",133,155,90,81
"187",9804,"Torino",209,140,135,80
"188",9807,"CF Os Belenenses",157,160,90,81
"189",9809,"Naval 1° de Maio",NA,165,90,33
"190",9810,"Eintracht Frankfurt",153,165,140,84
"191",9817,"Watford",160,205,205,19
"192",9823,"FC Bayern Munich",97,205,175,64
"193",9824,"FC Vaduz",141,137,133,53
"194",9825,"Arsenal",140,110,120,66
"195",9826,"Crystal Palace",173,205,185,41
"196",9827,"Girondins de Bordeaux",139,190,195,71
"197",9829,"AS Monaco",168,165,205,99
"198",9830,"FC Nantes",189,160,105,65
"199",9831,"OGC Nice",175,155,210,94
"200",9836,"Dijon FCO",154,135,120,26
"201",9837,"Stade de Reims",154,165,140,48
"202",9839,"VVV-Venlo",NA,150,150,56
"203",9847,"Paris Saint-Germain",174,160,210,65
"204",9850,"Norwich City",138,195,200,59
"205",9851,"Stade Rennais FC",167,190,210,94
"206",9853,"AS Saint-Étienne",165,175,90,87
"207",9855,"Grenoble Foot 38",NA,195,195,38
"208",9857,"Bologna",164,165,135,113
"209",9858,"Brescia",141,155,130,26
"210",9860,"Heart of Midlothian",168,210,200,91
"211",9864,"Málaga CF",129,155,155,106
"212",9865,"UD Almería",152,160,165,65
"213",9867,"CD Tenerife",163,140,125,19
"214",9868,"Xerez Club Deportivo",NA,150,140,20
"215",9869,"Real Sporting de Gijón",153,185,195,65
"216",9873,"Valenciennes FC",160,170,115,60
"217",9874,"FC Sochaux-Montbéliard",164,125,160,71
"218",9875,"Napoli",180,135,165,79
"219",9876,"Hellas Verona",157,150,150,59
"220",9878,"Pescara",152,120,145,32
"221",9879,"Fulham",142,190,115,71
"222",9880,"Cesena",143,145,130,70
"223",9882,"Sampdoria",130,125,135,108
"224",9885,"Juventus",105,170,155,85
"225",9888,"Lecce",NA,175,165,62
"226",9891,"Frosinone",157,140,125,27
"227",9904,"Hannover 96",144,175,210,85
"228",9905,"1. FSV Mainz 05",178,185,170,80
"229",9906,"Atlético Madrid",157,185,159,84
"230",9908,"FC Utrecht",152,150,90,99
"231",9910,"RC Celta de Vigo",169,160,115,48
"232",9911,"VfL Bochum",164,150,140,30
"233",9912,"DSC Arminia Bielefeld",166,165,135,19
"234",9925,"Celtic",180,205,200,106
"235",9927,"Motherwell",172,205,200,92
"236",9930,"FC Aarau",156,180,150,58
"237",9931,"FC Basel",170,165,180,86
"238",9938,"Dundee United",171,205,200,94
"239",9941,"Toulouse FC",158,150,105,79
"240",9956,"Grasshopper Club Zürich",164,180,160,104
"241",9976,"Bari",157,135,115,45
"242",9984,"KSV Cercle Brugge",145,170,195,64
"243",9985,"Standard de Liège",161,175,205,114
"244",9986,"Sporting Charleroi",160,148,210,91
"245",9987,"KRC Genk",148,145,205,75
"246",9989,"Lierse SK",171,150,139,93
"247",9991,"KAA Gent",142,170,135,88
"248",9993,"Beerschot AC",NA,135,210,72
"249",9994,"Sporting Lokeren",159,140,200,70
"250",9996,"Royal Excel Mouscron",150,150,140,13
"251",9997,"Sint-Truidense VV",NA,150,150,72
"252",9998,"RAEC Mons",160,149,138,46
"253",9999,"KSV Roeselare",NA,125,205,26
"254",10000,"SV Zulte-Waregem",147,150,200,87
"255",10001,"KVC Westerlo",148,140,210,79
"256",10003,"Swansea City",131,210,210,55
"257",10167,"Parma",152,170,145,85
"258",10172,"Queens Park Rangers",141,210,210,62
"259",10179,"FC Sion",155,170,120,104
"260",10189,"FC Schalke 04",143,195,185,87
"261",10190,"FC St. Gallen",146,145,155,76
"262",10191,"FC Thun",152,131,117,67
"263",10192,"BSC Young Boys",172,185,170,81
"264",10194,"Stoke City",138,195,140,67
"265",10199,"FC Luzern",165,175,135,72
"266",10205,"Villarreal CF",126,160,165,89
"267",10211,"SC Beira Mar",NA,157,155,46
"268",10212,"CS Marítimo",182,170,90,96
"269",10213,"Amadora",NA,NA,NA,21
"270",10214,"CD Nacional",167,165,90,101
"271",10215,"Académica de Coimbra",150,165,90,108
"272",10217,"ADO Den Haag",162,145,90,83
"273",10218,"Excelsior",163,162,105,65
"274",10219,"RKC Waalwijk",142,150,150,62
"275",10228,"SC Heerenveen",150,150,90,87
"276",10229,"AZ",154,130,110,76
"277",10233,"Genoa",184,175,135,138
"278",10235,"Feyenoord",154,131,90,82
"279",10238,"Vitória Setúbal",149,165,90,122
"280",10242,"ES Troyes AC",148,135,140,44
"281",10243,"FC Zürich",157,165,155,72
"282",10249,"Montpellier Hérault SC",162,160,210,60
"283",10251,"Hibernian",148,200,200,92
"284",10252,"Aston Villa",170,185,130,81
"285",10260,"Manchester United",134,180,130,68
"286",10261,"Newcastle United",152,195,155,77
"287",10264,"SC Braga",145,165,90,121
"288",10265,"Wisła Kraków",135,160,205,60
"289",10267,"Valencia CF",116,185,175,90
"290",10268,"Elche CF",171,165,140,37
"291",10269,"VfB Stuttgart",168,200,175,80
"292",10278,"Hércules Club de Fútbol",154,155,120,23
"293",10281,"Real Valladolid",153,135,125,67
"294",108893,"AC Arles-Avignon",156,95,115,28
"295",158085,"FC Arouca",174,160,109,51
"296",177361,"Termalica Bruk-Bet Nieciecza",NA,NA,NA,27
"297",188163,"Tondela",NA,NA,NA,26
"298",208931,"Carpi",190,137,141,33
"299",274581,"Royal Excel Mouscron",150,150,140,0
